cstipkovic/spidermonkey-research;testing/docker/desktop-l10n/Dockerfile
Pooja-S-Rao/docker-machine-oneview;vendor/github.com/docker/docker/builder/dockerfile/parser/testfiles/cpuguy83-nagios/Dockerfile
luiscape/hdx-monitor-arcgis-parser;Dockerfile
phyominhtun1990/ansible-for-devops;docker/test/Dockerfile
Klozz/atom;Dockerfile
d/vimfiles;bundle/Dockerfile/ftdetect/dockerfile.vim
clam-p/clam;images/lib/mysql/Dockerfile
Mic92/docker;builder/dockerfile/parser/testfiles/json/Dockerfile
akram/origin;test/extended/testdata/build-quota/Dockerfile
dangwy/docker;vendor/src/github.com/docker/distribution/Dockerfile
tobert/docker;integration-cli/build_tests/TestCopy/EtcToRoot/Dockerfile
zelahi/docker;contrib/builder/rpm/fedora-22/Dockerfile
BenHall/docker;docs/Dockerfile
dklempner/grpc;tools/dockerfile/distribtest/csharp_wheezy_x64/Dockerfile
labkode/docker;contrib/syntax/textmate/Docker.tmbundle/Syntaxes/Dockerfile.tmLanguage
mwringe/origin;images/release/golang-1.6/Dockerfile
osalvador/Quiz;node_modules/sequelize/Dockerfile
valdar/fabric8;itests/autoscale/autoscale-itests-docker/src/test/resources/docker/Dockerfile
xiuwang/origin;Godeps/_workspace/src/github.com/docker/docker/builder/parser/testfiles/jeztah-invalid-json-unterminated-bracket/Dockerfile
armbuild/docker;builder/dockerfile/parser/testfiles/kartar-entrypoint-oddities/Dockerfile
endocode/docker;builder/dockerfile/parser/testfiles/escapes/Dockerfile
gaobrian/docker;builder/dockerfile/parser/testfiles/json/Dockerfile
murz/kubernetes;cluster/mesos/docker/km/Dockerfile
tombull/haproxy;debian/Dockerfile
dockerbase/runit;Dockerfile
kyle-wang/docker;builder/dockerfile/parser/testfiles/kartar-entrypoint-oddities/Dockerfile
satishc1/Hygieia;collectors/scm/github/docker/Dockerfile
soltysh/sti-ruby;2.0/Dockerfile
velo/dockerfiles;vlc/Dockerfile
wjiangjay/origin;images/release/Dockerfile
zhaosijun/origin;vendor/k8s.io/kubernetes/examples/phabricator/php-phabricator/Dockerfile
zhaosijun/origin;examples/jenkins/master-slave/slave/Dockerfile
MiguelMoll/origin;images/builder/docker/custom-docker-builder/Dockerfile
YaoZengzeng/hyper;Godeps/_workspace/src/github.com/docker/docker/builder/dockerfile/parser/testfiles-negative/shykes-nested-json/Dockerfile
bodgit/kubernetes;build/build-image/cross/Dockerfile
brianbirke/docker;builder/parser/testfiles/brimstone-docker-consul/Dockerfile
rajurs/kubernetes;examples/k8petstore/redis/Dockerfile
rombie/kubernetes;examples/spark/images/driver/Dockerfile
sferich888/origin;test/extended/testdata/build-quota/Dockerfile
LaatuGroup/dockers;postgresql/9.5/Dockerfile
ManuelLR/MyDockers;OwnCloud/Dockerfile
dohque/docker-play;Dockerfile
eferro/Dockerfiles;freemind/Dockerfile
jasonamyers/docker;Dockerfile.s390x
nellyk/go-ethereum;docker/Dockerfile
tcnghia/kubernetes;contrib/prometheus/Dockerfile
alex-suo/docker-api;Dockerfile/StreamMonitor/config.ini
buddhamagnet/docker;contrib/syntax/textmate/Docker.tmbundle/Syntaxes/Dockerfile.tmLanguage
jaccokrijnen/leksah;Dockerfile
magnayn/docker-java;src/test/resources/buildTests/ENV/Dockerfile
mbforbes/kubernetes;cluster/addons/fluentd-elasticsearch/fluentd-es-image/Dockerfile
svanoort/pyresttest;docker/ubuntu14-py27/Dockerfile
thunderboltsid/grpc;tools/dockerfile/test/cxx_ubuntu1604_x64/Dockerfile
alexandrz/docker-api;spec/vcr/Docker_Image/_build_from_dir/with_a_valid_Dockerfile/with_credentials_passed/sends_X-Registry-Config_header.yml
hotchkj/eddn-archive;eddn-dynamo-raw/Dockerfile
sdminonne/kubernetes;examples/storage/mysql-galera/image/Dockerfile
wakashige/kubernetes;cluster/images/hyperkube/Dockerfile
Widukind/widukind-web;Dockerfile
aweiker/alpine-elixir;1.1.1/Dockerfile
scottkiss/dockerfiles;t/Dockerfile
sittercity/kubernetes;test/images/resource-consumer/Dockerfile
willrstern/nginx-etcd;Dockerfile
ArtfulCoder/kubernetes;test/images/volumes-tester/iscsi/Dockerfile
thebillkidy/Brewr-Site;frontend/src/components/elements/DockerfileViewer/DockerfileViewer.scss
ac-cs-club/poke-angular;node_modules/nodemon/Dockerfile
ardnaxelarak/kubernetes;cluster/images/etcd/Dockerfile
aveshagarwal/kubernetes;examples/meteor/dockerbase/Dockerfile
