studycwq/webui-aria2;Dockerfile
TLyngeJ/drupal-docker;mailcatcher/Dockerfile
firecat53/dockerfiles;check_mk/Dockerfile
konstruktoid/docker-1;contrib/syntax/textmate/Docker.tmbundle/Preferences/Dockerfile.tmPreferences
Defensative/kubernetes;test/images/entrypoint-tester/Dockerfile
SunWeicheng0001/docker;contrib/syntax/nano/Dockerfile.nanorc
krishnasrinivas/docker;builder/parser/testfiles/znc/Dockerfile
kyanyoga/splunk-fwd-dg;universalforwarder/Dockerfile
nodesource/docker-node;fedora/21/iojs/2.5.0/Dockerfile
tiagoantao/virtual-core;docker/compute_server/Dockerfile
konstruktoid/dockerfiles;travis/Dockerfile
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/Sphinx-1.2.3-py2.7.egg/sphinx/util/osutil.py
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/apache_libcloud-0.15.1-py2.7.egg/libcloud/test/test_file_fixtures.pyc
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/pybedtools-0.7.6-py2.7-linux-x86_64.egg/pybedtools/featurefuncs.cxx
pedro-r-marques/kubernetes;examples/meteor/dockerbase/Dockerfile
xueshanf/coreos-docker-dev;apps/logstash/docker/Dockerfile
huafu/apache-php-mysql-redis;Dockerfile
sameersbn/docker-browser-box;Dockerfile
cloudfoundry-incubator/vizzini;images/busybox-alice/Dockerfile
halvards/springmvc-jetty-spike;docker/Dockerfile.dev
avantgarde-labs/docker-tutorial;simple-elasticsearch-with-config/Dockerfile
randomvariable/journald-forwarder;Dockerfile
ifgi/scalable-spatial-temporal-BFAST;Dockerfile
dockU/base;Dockerfile
epc/docker;docs/examples/apt-cacher-ng.Dockerfile
tompko/mal;mal/Dockerfile
arruda/amao;dockers/pgserver/Dockerfile
hqhq/docker;contrib/builder/deb/armhf/ubuntu-trusty/Dockerfile
spulec/moto;Dockerfile
totem3/grpc;tools/dockerfile/grpc_go/Dockerfile
cglewis/vent;vent/core/aaa-redis/Dockerfile
mandre/kolla;docker/sahara/sahara-base/Dockerfile.j2
mikekelly/yu;lib/templates/ruby_base/Dockerfile
pgmcd/origin;images/pod/Dockerfile
