mehulsbhatt/docker-ovs;1.10.2/Dockerfile
rajatchopra/kubernetes;examples/k8petstore/redis/Dockerfile
uruddarraju/kubernetes;hack/boilerplate/boilerplate.Dockerfile.txt
Romanchuk/angular2-meet;Dockerfile
hmalphettes/docker-node;5.1/Dockerfile
guildencrantz/kubernetes;test/images/dnsutils/Dockerfile
poppingtonic/dockerfiles;transmission/Dockerfile
sanger-pathogens/gubbins;Dockerfile
marumari/http-observatory;httpobs/Dockerfile
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/ipython-2.2.0-py2.7.egg/IPython/config/profile/math/ipython_config.py
poojavade/Genomics_Docker;Dockerfiles/gedlab-khmer-filter-abund/pymodules/python2.7/lib/python/Bio/PopGen/SimCoal/data/ssm_2d.par
sairez/route53-kubernetes;Dockerfile
vladimirvivien/kubernetes;cluster/addons/python-image/Dockerfile
gaoyifan/docker-strongswan;Dockerfile
monitoringartist/zabbix-xxl;Dockerfile/zabbix-2.4/container-files-base/config/init/10-nginx-internal-proxy.sh
roman-vynar/mysqld_exporter;Dockerfile
vicamo/docker-buildpack-deps;sid/kfreebsd-amd64/scm/Dockerfile
lgscofield/realtime-analytics;replay/Dockerfile
EscapeIndustries/xservedbyfinder;go_v1/Dockerfile
ElieSauveterre/docker-composer-data;Dockerfile
GrahamDumpleton/mod_wsgi-docker-s2i;3.3/Dockerfile
mjibson/mog;Dockerfile
slavau/docker;builder/parser/testfiles/continueIndent/Dockerfile
wagzhi/docker;man/Dockerfile
chiting/docker;builder/parser/testfiles/weechat/Dockerfile
deletoe/docker;builder/parser/testfiles/cpuguy83-nagios/Dockerfile
geffzhang/grpc;tools/dockerfile/distribtest/node_wheezy_x64/Dockerfile
maran/bysh-plex;Dockerfile
mtmiller/ocserv;tests/docker-ocserv/Dockerfile-debian-tcp
rabi/kubernetes;build/kube-dns/Dockerfile
FriendsOfPHP/php;5.4/fpm/Dockerfile
aledsage/clocker;docker/src/main/resources/clocker/docker/entity/container/ubuntu/UsesJavaDockerfile
carlanton/docker;builder/parser/testfiles/jeztah-invalid-json-single-quotes/Dockerfile
